Entity,Year,Emigration_Rate,Schooling,Happiness,GDP,Unemployment,Undernourishment,Temp_5yr_avg,Collapse_Index
Morocco,2020,0.09001616216483353,6.83,4.918,8054.563,11.223,5.3,0.3756223208333333,0.3151703480197331
Mozambique,2020,0.02238386989731736,4.22,4.794,1466.1248,3.921,28.3,0.3756223208333333,0.45531277353885147
Myanmar,2015,0.04927495240664048,5.9,4.395,5313.886,0.766,4.9,0.0914707344,-0.04101926200632389
Myanmar,2020,0.0681222128383556,6.48,4.426,5926.8345,1.476,4.0,0.3756223208333333,0.000932331907821804
Namibia,2015,0.018417178921831864,6.64,4.574,12166.565,20.808,21.8,0.0914707344,0.8438646961895835
Namibia,2020,0.015473328544833551,6.88,4.574,9652.248,21.004,19.1,0.3756223208333333,0.8090796456208439
Nepal,2015,0.0759327925244552,5.44,4.793,3745.2617,10.644,6.6,0.0914707344,0.34827842863748293
Nepal,2020,0.08139890867337463,6.19,5.269,4412.542,12.975,5.6,0.3756223208333333,0.3297157875324433
Netherlands,2015,0.03474098884174823,11.74,7.339,63081.395,6.872,2.5,0.0914707344,-0.9670107862678663
Netherlands,2020,0.03400493923704233,11.82,7.464,64862.19,3.82,2.5,0.3756223208333333,-1.1142732305346104
New Zealand,2015,0.1463883563952159,10.91,7.334,44963.832,5.415,2.5,0.0914707344,-0.5758510133656779
New Zealand,2020,0.13402230223702857,10.81,7.277,46104.605,4.595,2.5,0.3756223208333333,-0.6352661759309751
