countries,countries_code,year,undernourishment_percent,minimum_calories,cereal_production,cereal_yield,land_usage,population,gdp_per_capita,continent,yearly_mean,yield_index_2001,prod_index_2001,yield_index_z,undernourishment_z,food_stress_score,total_num_of_emigrants,emigrant_index_2000
Philippines,PHL,2005,14.6,1706,19856348.0,3.0490003,6512315.0,88015959.0,5386.8164,Asia,0.092185,114.28892988312992,113.59273165709189,-0.329786087519631,0.5306625614743751,0.8604486489940061,3925727.0,118.59836947622762
Philippines,PHL,2006,13.4,1709,21408902.0,3.1808002,6730683.0,89508992.0,5578.5723,Asia,0.044091,119.2293260942105,122.47446811261456,-0.1766957933341734,0.3903763458602117,0.5670721391943851,,
Philippines,PHL,2007,12.2,1712,22977304.0,3.3198001,6921286.0,91075180.0,5840.068,Asia,0.036684,124.43960758380632,131.4468666380859,-0.01524244183125742,0.25009013024604815,0.26533257207730554,,
Philippines,PHL,2008,11.3,1714,23744012.0,3.3343003,7121079.0,92699091.0,5987.0376,Asia,0.095789,124.98313404429612,135.83299323615648,0.0016000586846605957,0.1448754685354258,0.1432754098507652,,
Philippines,PHL,2009,12.2,1717,23300700.0,3.2289,7216272.0,94384256.0,5965.307,Asia,0.034867,121.03230219414482,133.29692663134233,-0.1208261566177447,0.25009013024604815,0.37091628686379285,,
Philippines,PHL,2010,13.1,1719,22149368.0,3.2319,6853269.0,96337127.0,6273.039,Asia,0.13055,121.14475439352618,126.71047141187182,-0.11734154940213645,0.35530479195667075,0.47264634135880723,4941994.0,149.30035388637572
Philippines,PHL,2011,13.6,1722,23655648.0,3.3406003,7081336.0,98248614.0,6388.313,Asia,0.011309,125.21928366299697,135.32748697991303,0.008917733837437339,0.41375738179590554,0.4048396479584682,,
Philippines,PHL,2012,12.9,1725,25440478.0,3.4926002,7284199.0,100175511.0,6697.556,Asia,0.039828,130.91685801657863,145.53801085084476,0.18547104994132002,0.33192375602097696,0.14645270607965694,,
Philippines,PHL,2013,12.1,1728,25817440.0,3.5318003,7309980.0,102076334.0,7016.5386,Asia,0.06705,132.38623717023486,147.69450726755343,0.23100336704550026,0.23839961227820128,0.007396245232701021,,
Philippines,PHL,2014,11.4,1731,26739122.0,3.6374002,7351234.0,103767127.0,7340.362,Asia,0.106208,136.34455084005168,152.96719769880355,0.3536614248813176,0.1565659865032727,-0.19709543837804488,,
Philippines,PHL,2015,10.0,1733,25669246.0,3.5561004,7218290.0,105312988.0,7691.763,Asia,0.255577,133.29710373363045,146.84672995849382,0.2592288016454971,-0.00710126504658466,-0.26633006669208176,6000348.0,181.27380968924825
Philippines,PHL,2016,8.6,1736,24846678.0,3.5290003,7040630.0,106735721.0,8131.825,Asia,0.439195,132.2812817841456,142.14104359090445,0.22775106697759928,-0.17076851659644202,-0.39851958357404127,,
Philippines,PHL,2017,7.1,1739,27191820.0,3.6923003,7364502.0,108119691.0,8584.136,Asia,0.343641,138.40242983713696,155.55695904040078,0.4174298530805112,-0.34612628611414625,-0.7635561391946575,,
Philippines,PHL,2018,6.0,1741,26838576.0,3.6705003,7311944.0,109465284.0,9016.286,Asia,0.263885,137.58527718829922,153.53614680939648,0.39210837398043014,-0.4747219837604627,-0.8668303577408929,,
Philippines,PHL,2019,5.6,1743,26794250.0,3.7379,7168316.0,110804685.0,9452.294,Asia,0.399228,140.11169202251352,153.28256989669168,0.4703955342970268,-0.5214840556318505,-0.9918795899288773,,
Philippines,PHL,2020,5.8,1746,27413962.0,3.7694001,7272792.0,112081270.0,8455.185,Asia,0.432163,141.29244386442434,156.82777261577576,0.506984026214482,-0.4981030196961566,-1.0050870459106387,6461086.0,195.19295780009196
Philippines,PHL,2021,6.0,1748,28247960.0,3.8329,7369907.0,113100947.0,8857.79,Asia,0.273691,143.67267833625624,161.59884688464695,0.5807414294579379,-0.4747219837604627,-1.0554634132184006,,
Philippines,PHL,2022,5.9,1750,28012590.0,3.8215,7330167.0,113964343.0,9457.104,Asia,0.300865,143.2453599786071,160.25235954215427,0.5674999220386282,-0.4864125017283096,-1.0539124237669377,,
Russia,RUS,2001,4.1,1933,83303480.0,1.9347,43057500.0,146117290.0,21219.904,Europe,0.092416,100.0,100.0,-0.7725636272030887,-0.6968418251495548,0.07572180205353385,,
